company,ticker,date,title,url,category,summary,impact_duration,impact_type,investment_advice
Red Mountain Mining Ltd,RMX,"11/07/2025
9:21 am",RMX Accelerates Antimony-Gold Program at Armidale 18 pages 3.0MB,https://www.asx.com.au/asx/v2/statistics/displayAnnouncement.do?display=pdf&idsId=02968485,other,"Red Mountain Mining Ltd (RMX) announced significant gold assays from 102 rock chip samples at the Oaky Creek Antimony prospect, revealing values up to 0.54g/t Au. The company is set to conduct a 2,500m trenching program aimed at uncovering mineralization beneath unexplained soil anomalies, with plans for extensive soil sampling across additional gold and antimony targets in a fully funded exploration initiative.",短期,利好,考虑在短期内增持RMX股票，以利用即将进行的勘探和潜在的资源发现。
Service Stream Limited,SSM,"11/07/2025
9:14 am",SSM awarded further nbn fibre upgrade works in the ACT 2 pages 152.0KB,https://www.asx.com.au/asx/v2/statistics/displayAnnouncement.do?display=pdf&idsId=02968475,other,"Service Stream Limited has secured an amendment to its agreement with NBN Co to provide design and construction services for the upgrade of the remaining Fibre to the Node (FTTN) footprint to Fibre to the Premises (FTTP) technology in the ACT, expected to generate approximately $360 million in revenue over about 3.5 years.",长期,利好,建议投资者考虑增持或购买Service Stream Limited的股票，鉴于该项目预计带来的可观收入和公司与NBN的良好合作关系。
Invion Limited,IVX,"11/07/2025
9:13 am",Security Class Suspension from Quotation 1 page 105.4KB,https://www.asx.com.au/asx/v2/statistics/displayAnnouncement.do?display=pdf&idsId=02968471,trading,Invion Limited's securities class IVXO is suspended from quotation pending compliance with listing rules.,短期,利空,建议观望，待信息进一步明确后再评估投资机会。
Ventia Services Group Ltd,VNT,"11/07/2025
9:08 am",Ventia awarded additional fibre upgrade works with NBN Co 2 pages 233.3KB,https://www.asx.com.au/asx/v2/statistics/displayAnnouncement.do?display=pdf&idsId=02968461,other,"Ventia has secured a contract amendment with NBN Co to upgrade the remaining Fibre to the Node network in Australia, expected to generate approximately $280 million in revenue over the next 3.5 years, with a potential 2-year extension.",长期,利好,考虑增持Ventia的股份，预计公司将通过新合同实现稳定的收入增长。
Macro Metals Limited,M4M,"11/07/2025
9:06 am",Trading Halt 2 pages 237.6KB,https://www.asx.com.au/asx/v2/statistics/displayAnnouncement.do?display=pdf&idsId=02968456,trading,Macro Metals Limited has requested a trading halt of its securities pending the release of an announcement related to a court application due to an unintentional failure to lodge a cleansing notice within the required period after issuing shares.,短期,中性,投资者应保持关注，等待公司公告的进一步信息，评估对投资的潜在影响，并在确认后再做出投资决策。
Kingston Resources Limited,KSN,"11/07/2025
9:05 am",Kingston Receives $50 Million from Misima Divestment 1 page 198.5KB,https://www.asx.com.au/asx/v2/statistics/displayAnnouncement.do?display=pdf&idsId=02968455,other,"Kingston Resources Limited has received an initial $50 million cash payment from Ok Tedi Mining Limited following the completion of a binding agreement to divest the Misima Gold Project for a total of $95 million. The transaction includes several future cash payments and a gross revenue royalty on gold production from Misima. This divestment strengthens Kingston's balance sheet, allowing for full debt repayment and increased investments at Mineral Hill, with plans to initiate copper production in 2026.",长期,利好,建议投资者考虑增加对Kingston Resources的投资，因其财务状况改善和未来增长机会利好长期回报。
DY6 Metals Ltd,DY6,"11/07/2025
9:01 am",Trading Halt 2 pages 257.8KB,https://www.asx.com.au/asx/v2/statistics/displayAnnouncement.do?display=pdf&idsId=02968450,trading,DY6 Metals Ltd has requested a trading halt pending the release of an announcement regarding a material capital raising. The halt will last until the earlier of normal trading resumption on 15 July 2025 or the announcement release.,短期,中性,建议在未获具体信息前保持观望，待公告发布后再评估投资机会。
Aureka Limited,AKA,"11/07/2025
9:00 am",Exploration Update - Irvine and Tandarra Drilling 29 pages 2.3MB,https://www.asx.com.au/asx/v2/statistics/displayAnnouncement.do?display=pdf&idsId=02968449,update,"Aureka Limited announced positive exploration results from its Irvine and Tandarra Gold Projects. The Irvine Project has confirmed the extension of mineralisation with promising assay results indicating potential for resource growth. The Tandarra Gold Project demonstrated a consistent mineralised system across multiple drill holes, with significant gold intersections reported. The company plans to continue drilling to grow its gold inventory.",长期,利好,建议买入，因持续的勘探结果显示出较高的金矿潜力，将有助于公司长期价值增长。
X2M Connect Limited,X2M,"11/07/2025
8:51 am",Trading Halt 3 pages 311.2KB,https://www.asx.com.au/asx/v2/statistics/displayAnnouncement.do?display=pdf&idsId=02968439,trading,X2M Connect Limited has requested a trading halt for its securities pending the release of an announcement concerning a capital raising. The trading halt will last until the earlier of the announcement release or 15 July 2025.,short-term,neutral,Monitor the announcement closely and assess the terms of the capital raising before making any investment decisions.
Pharmx Technologies Ltd.,PHX,"11/07/2025
8:50 am",NDSS Agreement Renewal and Supplier Growth Momentum 2 pages 941.6KB,https://www.asx.com.au/asx/v2/statistics/displayAnnouncement.do?display=pdf&idsId=02968438,other,"Pharmx has renewed its National Diabetes Services Scheme (NDSS) agreement for 12 months and secured over 50 new suppliers, expanding its platform and enhancing its value in the healthcare supply chain in Australia and New Zealand.",长期,利好,建议投资者关注Pharmx的长期增长潜力，考虑增持该股份。
